us_state,date,Count,MedianPrice,DesignerCount
Iowa,2018-09,75,6.99,0.0
Iowa,2018-10,141,6.99,0.0
Iowa,2018-11,223,6.99,0.0
Iowa,2018-12,123,6.99,0.0
Iowa,2019-01,124,6.99,0.0
Iowa,2019-02,67,6.99,1.0
Iowa,2019-03,46,6.99,0.0
Iowa,2019-04,127,9.99,0.0
Iowa,2019-05,48,6.99,0.0
Iowa,2019-06,67,6.99,0.0
Iowa,2019-07,17,6.99,0.0
Iowa,2019-08,2,26.505000000000003,0.0
Iowa,2019-09,3,6.0,0.0
Louisiana,2016-01,10,7.99,0.0
Louisiana,2016-03,1,7.99,0.0
Louisiana,2016-04,1,7.99,0.0
Louisiana,2016-08,8,9.99,0.0
Louisiana,2016-09,10,9.99,0.0
Louisiana,2016-10,1,9.99,0.0
Louisiana,2016-11,2,7.99,0.0
Louisiana,2016-12,5,7.99,0.0
Louisiana,2017-01,9,7.99,0.0
Louisiana,2017-02,15,7.99,0.0
Louisiana,2017-03,14,7.99,0.0
Louisiana,2017-04,21,7.99,0.0
Louisiana,2017-05,18,8.469999999999999,0.0
Louisiana,2017-06,13,7.99,0.0
Louisiana,2017-07,1,8.95,0.0
Louisiana,2017-08,13,7.99,0.0
Louisiana,2017-09,27,7.99,0.0
Louisiana,2017-10,9,8.99,0.0
Louisiana,2017-11,6,8.99,0.0
Louisiana,2017-12,6,9.99,0.0
Louisiana,2018-01,16,9.99,0.0
Louisiana,2018-02,10,9.99,0.0
Louisiana,2018-03,7,8.99,0.0
Louisiana,2018-04,21,14.99,0.0
Louisiana,2018-05,5,11.0,0.0
Louisiana,2018-06,10,9.99,0.0
Louisiana,2018-07,3,9.99,0.0
Louisiana,2018-08,2,20.975,0.0
Louisiana,2018-09,4,8.99,0.0
Louisiana,2018-10,19,9.99,0.0
Louisiana,2018-11,26,7.99,0.0
Louisiana,2018-12,29,7.99,0.0
Louisiana,2019-01,35,7.99,0.0
Louisiana,2019-02,13,9.99,0.0
Louisiana,2019-03,6,9.99,0.0
Louisiana,2019-04,1,9.99,0.0
Louisiana,2019-05,11,19.99,0.0
Louisiana,2019-06,7,14.99,0.0
Louisiana,2019-07,1,9.99,0.0
Louisiana,2019-08,1,9.99,0.0
Maine,2017-11,4,10.0,0.0
Maine,2017-12,10,10.0,0.0
Maine,2018-01,9,10.0,0.0
Maine,2018-02,4,10.0,0.0
Maine,2018-03,1,10.0,0.0
Maine,2018-04,1,10.0,0.0
Maine,2018-06,4,10.0,0.0
Maine,2018-07,2,14.25,0.0
Maine,2018-08,2,10.5,0.0
Maine,2018-09,12,10.0,0.0
Maine,2018-10,23,10.0,0.0
Maine,2018-11,20,10.0,0.0
Maine,2018-12,20,8.0,0.0
Maine,2019-01,9,12.0,0.0
Maine,2019-02,5,15.0,0.0
Maine,2019-03,58,10.0,0.0
Maine,2019-04,13,15.0,0.0
Maine,2019-05,25,15.0,0.0
Maine,2019-06,18,12.5,0.0
Maine,2019-07,8,15.0,0.0
Maine,2019-08,9,15.0,0.0
Maine,2019-09,4,13.0,0.0
Maryland,2016-04,14,6.495,0.0
Maryland,2016-05,23,6.0,0.0
Maryland,2016-06,92,5.0,0.0
Maryland,2016-07,116,5.0,0.0
Maryland,2016-08,63,2.5,0.0
Maryland,2016-09,34,2.5,0.0
Maryland,2016-10,25,5.0,0.0
Maryland,2016-11,46,8.0,0.0
Maryland,2016-12,67,5.0,0.0
Maryland,2017-01,77,5.0,0.0
Maryland,2017-02,119,7.5,0.0
Maryland,2017-03,38,5.0,0.0
Maryland,2017-04,40,5.0,0.0
Maryland,2017-05,73,8.0,0.0
Maryland,2017-06,172,7.5,0.0
Maryland,2017-07,455,5.0,0.0
Maryland,2017-08,257,3.0,0.0
Maryland,2017-09,209,10.0,0.0
Maryland,2017-10,312,5.0,0.0
Maryland,2017-11,375,8.0,0.0
Maryland,2017-12,352,7.5,0.0
Maryland,2018-01,298,5.0,0.0
Maryland,2018-02,236,10.0,1.0
Maryland,2018-03,289,7.99,0.0
Maryland,2018-04,634,4.99,1.0
Maryland,2018-05,3077,4.99,0.0
Maryland,2018-06,6414,4.99,0.0
Maryland,2018-07,6532,4.99,0.0
Maryland,2018-08,6834,4.99,1.0
Maryland,2018-09,5834,9.99,0.0
Maryland,2018-10,7082,9.99,0.0
Maryland,2018-11,10089,9.99,0.0
Maryland,2018-12,7600,9.99,0.0
Maryland,2019-01,1506,9.99,0.0
Maryland,2019-02,1131,9.99,1.0
Maryland,2019-03,1770,9.99,1.0
Maryland,2019-04,4825,9.99,0.0
Maryland,2019-05,9298,11.99,2.0
Maryland,2019-06,7149,11.99,1.0
Maryland,2019-07,3652,11.99,0.0
Maryland,2019-08,3066,11.99,0.0
Maryland,2019-09,2719,11.99,0.0
Maryland,2019-10,5448,11.99,0.0
Maryland,2019-11,860,11.99,0.0
Maryland,2019-12,2061,11.99,0.0
Michegan,2017-04,8,7.99,0.0
Michegan,2017-05,3,7.99,0.0
Michegan,2017-06,4,6.99,0.0
Michegan,2017-07,5,7.99,0.0
Michegan,2017-08,5,6.99,0.0
Michegan,2017-09,12,5.99,0.0
Michegan,2017-10,7,5.99,0.0
Michegan,2017-11,20,7.99,0.0
Michegan,2017-12,24,9.99,0.0
Michegan,2018-01,26,9.99,0.0
Michegan,2018-02,9,9.99,0.0
Michegan,2018-03,14,9.99,0.0
Michegan,2018-04,7,7.99,0.0
Michegan,2018-05,18,7.99,0.0
Michegan,2018-06,39,7.99,0.0
Michegan,2018-07,6,7.99,0.0
Michegan,2018-08,3,12.99,0.0
Michegan,2018-10,4,8.39,0.0
Michegan,2018-11,6,7.99,0.0
Michegan,2018-12,11,7.99,0.0
Michegan,2019-01,15,7.99,0.0
Michegan,2019-02,9,7.99,0.0
Michegan,2019-03,15,5.99,0.0
Michegan,2019-04,2,5.99,0.0
Michegan,2019-05,2,9.99,0.0
Michegan,2019-07,1,9.99,0.0
Michigan,2014-07,165,9.95,0.0
Michigan,2014-08,168,11.95,0.0
Michigan,2014-09,94,9.95,0.0
Michigan,2014-10,138,10.95,0.0
Michigan,2014-11,97,11.95,0.0
Michigan,2014-12,81,11.95,1.0
Michigan,2015-01,99,11.95,0.0
Michigan,2015-02,116,11.95,2.0
